euclidean centroid cell to district hospital;euclidean centroid cell to any health facility;eulidean centroid cell to kigali;euclidean centroid cell to main road;euclidean centroid cell to any road;Sum_ROAD_Length;SUM ROAD LENGTH PER AREA
13959,07879;2278,507006;66189,35466;241,625396;161,642123;10279,36595;0,001885
12551,64975;2514,986641;68024,6995;1589,62305;73,140646;11199,54477;0,001582
18131,39585;3188,123281;68064,42779;1888,490767;246,710727;9957,348404;0,001487
17380,22864;2548,826165;69540,52783;1004,679159;5,895885;13422,61843;0,002293
14904,29229;5518,574279;70372,02581;3043,089996;159,8324;11116,10438;0,001655
13126,18632;5579,652969;68018,74275;271,459836;212,115101;6538,007003;0,003306
19197,03783;1302,326887;69692,99687;84,004988;84,004988;13970,28059;0,003282
6231,245906;6231,245906;67083,42892;2516,180086;103,628327;2724,880074;0,000548
7372,20363;2920,603851;68863,88273;1433,217522;85,591368;6560,495852;0,000971
3719,701198;3703,918137;70440,58809;690,784395;37,107098;6227,150335;0,001531
12860,87993;273,36469;18240,81505;2657,999247;537,446519;5892,205471;0,000765
8165,986289;5093,687728;16463,89125;3300,57695;303,751841;10452,12154;0,001694
9469,589514;3394,098479;18357,08379;1342,656142;261,78854;13266,62081;0,001376
6115,407299;2031,0474;15296,52588;3712,427432;56,068986;14766,5181;0,001819
10011,92197;1785,718281;21959,42378;2773,711923;31,9534;15613,22897;0,001433
6157,080988;5551,49811;24022,20885;1037,311611;615,125911;16718,22433;0,00136
11618,43411;3761,26428;22100,87795;1394,028818;1064,83257;5636,672664;0,00055
24955,99164;4293,316476;38409,42749;1263,462376;1038,866759;11906,78676;0,001239
24505,85773;3865,264081;36684,53996;721,55027;305,784831;12065,95403;0,001474
21078,20589;3641,645854;40668,60509;1923,856535;730,817923;14167,04369;0,001298
25413,7342;2668,987582;24807,73526;6470,137743;390,500002;12589,02656;0,001186
24255,05232;3494,092327;26340,18156;4200,671756;471,253655;19648,1546;0,001689
14121,47232;3339,594992;26097,60332;2674,307195;23,852911;11177,69836;0,00111
18394,27007;5844,483127;28359,62431;536,706591;536,706591;11251,56489;0,001343
13875,04642;755,02882;33192,54676;898,722818;430,255883;12384,12908;0,001645
12372,01166;2372,491453;31272,25497;1398,427496;457,249504;10806,77525;0,00177
11563,50395;4893,495624;31559,42987;776,826469;526,836737;7110,4062;0,001128
7686,537936;4333,943232;35568,81398;876,730148;114,015953;8152,279064;0,001142
6235,344851;1457,719279;29428,44827;892,30323;798,09376;7236,932028;0,001238
3140,82701;3140,82701;27971,39422;4374,700765;907,25603;11791,57214;0,001178
10258,12901;6644,295422;31180,5258;511,765878;156,877483;15603,5832;0,001861
6706,054552;5943,624504;30032,85098;1160,955795;245,325934;17952,56271;0,002235
